fieldName,fieldExclusions
ConversionTypeName,ActiveViewCpm;ActiveViewCtr;ActiveViewImpressions;ActiveViewMeasurability;ActiveViewMeasurableCost;ActiveViewMeasurableImpressions;ActiveViewViewability;AverageCost;AverageCpc;AverageCpe;AverageCpm;AverageCpv;AverageFrequency;AveragePageviews;AveragePosition;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;Clicks;ContentBudgetLostImpressionShare;ContentImpressionShare;ContentRankLostImpressionShare;Cost;Ctr;EngagementRate;Engagements;GmailForwards;GmailSaves;GmailSecondaryClicks;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;Impressions;InteractionRate;InteractionTypes;Interactions;InvalidClickRate;InvalidClicks;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr;SearchBudgetLostImpressionShare;SearchExactMatchImpressionShare;SearchImpressionShare;SearchRankLostImpressionShare;VideoQuartile100Rate;VideoQuartile25Rate;VideoQuartile50Rate;VideoQuartile75Rate;VideoViewRate;VideoViews
ConversionValue,
Cost,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
CostPerAllConversion,HourOfDay;Slot
CostPerConversion,
CostPerCurrentModelAttributedConversion,
CrossDeviceConversions,HourOfDay;Slot
Ctr,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
CurrentModelAttributedConversions,
CurrentModelAttributedConversionValue,
CustomerDescriptiveName,
Date,
DayOfWeek,AverageFrequency;ImpressionReach
Device,AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr
EndDate,
EngagementRate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
Engagements,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
EnhancedCpcEnabled,
EnhancedCpvEnabled,
ExternalConversionSource,ActiveViewCpm;ActiveViewCtr;ActiveViewImpressions;ActiveViewMeasurability;ActiveViewMeasurableCost;ActiveViewMeasurableImpressions;ActiveViewViewability;AverageCost;AverageCpc;AverageCpe;AverageCpm;AverageCpv;AverageFrequency;AveragePageviews;AveragePosition;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;Clicks;ContentBudgetLostImpressionShare;ContentImpressionShare;ContentRankLostImpressionShare;Cost;Ctr;EngagementRate;Engagements;GmailForwards;GmailSaves;GmailSecondaryClicks;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;Impressions;InteractionRate;InteractionTypes;Interactions;InvalidClickRate;InvalidClicks;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr;SearchBudgetLostImpressionShare;SearchExactMatchImpressionShare;SearchImpressionShare;SearchRankLostImpressionShare;VideoQuartile100Rate;VideoQuartile25Rate;VideoQuartile50Rate;VideoQuartile75Rate;VideoViewRate;VideoViews
ExternalCustomerId,
GmailForwards,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
GmailSaves,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
